"Name","Total Time","Total Time (CPU)","Invocations"
"main","360 ms (-0 %)","238 ms (-0 %)","2"
" CryptoAnalyze.EN_analyze ()","84,1 ms (-0 %)","72,5 ms (-0 %)","1"
"  Self time","70,9 ms (-0 %)","63,3 ms (-0 %)","1"
"  jdk.internal.math.FDBigInteger.<clinit> ()","13,1 ms (-0 %)","9,18 ms (-0 %)","1"
"   Self time","3,68 ms (-0 %)","2,90 ms (-0 %)","1"
"   jdk.internal.math.FDBigInteger.makeImmutable ()","0,881 ms (-0 %)","0,784 ms (-0 %)","341"
"   jdk.internal.math.FDBigInteger.mult (int)","8,54 ms (-0 %)","5,43 ms (-0 %)","326"
"    Self time","4,40 ms (-0 %)","3,35 ms (-0 %)","326"
"    jdk.internal.math.FDBigInteger.mult (int[], int, int, int[])","1,95 ms (-0 %)","1,11 ms (-0 %)","326"
"    jdk.internal.math.FDBigInteger.trimLeadingZeros ()","2,18 ms (-0 %)","0,953 ms (-0 %)","326"
"   jdk.internal.math.FDBigInteger.trimLeadingZeros ()","0,061 ms (-0 %)","0,058 ms (-0 %)","15"
" CryptoAnalyze.getENFile (String)","276 ms (-0 %)","166 ms (-0 %)","1"
"  CryptoAnalyze.$closeResource (Throwable, AutoCloseable)","0,075 ms (-0 %)","0,071 ms (-0 %)","1"
"  CryptoAnalyze.run_EN (String)","63,7 ms (-0 %)","52,3 ms (-0 %)","19 277"
"  Self time","212 ms (-0 %)","113 ms (-0 %)","1"
